qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c7_real
CC,0,0.9,0.67,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PCC,0,0.9,0.67,0.75,0.92,0.89,0.82,0.18,0.14,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC,0,0.08,0.26,0.18,0.0,0.0,0.0,0.15,0.5,0.36,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,0,0.07,0.3,0.2,0.0,0.0,0.03,0.12,0.5,0.32,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
MS,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
X,0,0.08,0.27,0.19,0.0,0.0,0.02,0.14,0.49,0.34,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
SMM,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS,0,0.91,0.66,0.75,1.0,0.9,0.84,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,0,0.89,0.66,0.72,1.0,0.99,0.84,0.17,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDy,0,0.92,0.69,0.79,1.0,0.95,0.9,0.17,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_syn,0,0.9,0.67,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PACC_syn,0,0.9,0.67,0.75,0.91,0.89,0.82,0.18,0.14,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_syn,0,0.84,0.57,0.64,0.39,0.31,0.49,0.26,0.18,0.2,0.12,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
MAX_syn,0,0.84,0.57,0.64,0.39,0.31,0.49,0.26,0.18,0.2,0.12,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
T50_syn,0,0.84,0.45,0.62,1.0,1.0,0.94,0.17,0.09,0.13,0.21,0.21,0.19,0.09,0.34,0.25,0.07,0.08,0.17
MS_syn,0,0.89,0.66,0.73,1.0,0.95,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
MS2_syn,0,0.9,0.66,0.73,1.0,0.95,0.81,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
SMM_syn,0,1.0,0.71,0.8,1.0,0.97,0.9,0.19,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_syn,0,0.85,0.61,0.61,1.0,0.99,0.84,0.17,0.12,0.12,0.2,0.2,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS_cdt,0,0.91,0.66,0.75,1.0,0.9,0.84,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_cdt,0,0.08,0.26,0.18,0.0,0.0,0.0,0.15,0.5,0.36,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC_cdt,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_cdt,0,0.08,0.27,0.19,0.0,0.0,0.02,0.14,0.49,0.34,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
MAX_cdt,0,0.07,0.3,0.2,0.0,0.0,0.03,0.12,0.5,0.32,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
T50_cdt,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS_cdt,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2_cdt,0,0.07,0.26,0.17,0.0,0.0,0.0,0.14,0.52,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM_cdt,0,0.91,0.64,0.74,1.0,0.88,0.85,0.18,0.13,0.15,0.2,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_cdt,0,0.92,0.69,0.79,1.0,0.95,0.9,0.17,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
CC2,0,0.09,0.34,0.27,0.05,0.07,0.18,0.09,0.34,0.27,0.05,0.07,0.18,0.09,0.34,0.25,0.07,0.08,0.17
PWK,0,0.09,0.33,0.26,0.07,0.09,0.16,0.09,0.33,0.26,0.07,0.09,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDx,0,0.14,0.47,0.12,0.0,0.47,0.4,0.14,0.47,0.12,0.0,0.47,0.4,0.09,0.34,0.25,0.07,0.08,0.17
GAC,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
GPAC,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.17
FM,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
EMQ,0,0.09,0.34,0.28,0.04,0.07,0.18,0.09,0.34,0.28,0.04,0.07,0.18,0.09,0.34,0.25,0.07,0.08,0.17
KDEyHD,0,0.0,0.0,0.82,0.0,0.14,0.04,0.0,0.0,0.82,0.0,0.14,0.04,0.09,0.34,0.25,0.07,0.08,0.17
KDEyCS,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
KDEyML,0,0.0,0.19,0.81,0.0,0.0,0.0,0.0,0.19,0.81,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
CC,1,0.91,0.67,0.76,1.0,0.99,0.82,0.18,0.13,0.15,0.19,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PCC,1,0.9,0.67,0.76,0.92,0.88,0.82,0.18,0.14,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
ACC,1,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.54,0.32,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,1,0.91,0.64,0.75,1.0,0.87,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,1,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,1,0.08,0.28,0.23,0.0,0.0,0.0,0.14,0.47,0.39,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS,1,0.07,0.26,0.13,0.0,0.0,0.0,0.14,0.57,0.29,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2,1,0.07,0.26,0.13,0.0,0.0,0.0,0.14,0.57,0.29,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
X,1,0.08,0.28,0.21,0.0,0.0,0.0,0.13,0.5,0.37,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM,1,0.91,0.64,0.75,1.0,0.87,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS,1,0.91,0.66,0.77,1.0,0.96,0.87,0.18,0.13,0.15,0.19,0.19,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,1,0.9,0.62,0.73,1.0,0.99,0.88,0.18,0.12,0.14,0.2,0.19,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy,1,0.91,0.67,0.8,1.0,0.98,0.95,0.17,0.13,0.15,0.19,0.18,0.18,0.09,0.34,0.25,0.07,0.08,0.17
ACC_syn,1,0.91,0.67,0.76,1.0,0.99,0.82,0.18,0.13,0.15,0.19,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PACC_syn,1,0.9,0.67,0.76,0.92,0.88,0.82,0.18,0.14,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
X_syn,1,0.84,0.54,0.62,0.41,0.31,0.48,0.26,0.17,0.19,0.13,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
MAX_syn,1,0.84,0.54,0.62,0.41,0.31,0.48,0.26,0.17,0.19,0.13,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
T50_syn,1,0.81,0.43,0.65,1.0,1.0,0.96,0.17,0.09,0.13,0.21,0.21,0.2,0.09,0.34,0.25,0.07,0.08,0.17
MS_syn,1,0.9,0.66,0.75,1.0,0.99,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
MS2_syn,1,0.9,0.66,0.75,1.0,0.99,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
SMM_syn,1,0.99,0.7,0.83,1.0,0.97,0.89,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_syn,1,0.87,0.63,0.63,1.0,0.99,0.9,0.17,0.13,0.13,0.2,0.2,0.18,0.09,0.34,0.25,0.07,0.08,0.17
DyS_cdt,1,0.91,0.66,0.77,1.0,0.96,0.87,0.18,0.13,0.15,0.19,0.19,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_cdt,1,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.54,0.32,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC_cdt,1,0.91,0.64,0.75,1.0,0.87,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_cdt,1,0.08,0.28,0.21,0.0,0.0,0.0,0.13,0.5,0.37,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX_cdt,1,0.08,0.28,0.23,0.0,0.0,0.0,0.14,0.47,0.39,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
T50_cdt,1,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS_cdt,1,0.07,0.26,0.13,0.0,0.0,0.0,0.14,0.57,0.29,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2_cdt,1,0.07,0.26,0.13,0.0,0.0,0.0,0.14,0.57,0.29,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM_cdt,1,0.91,0.64,0.75,1.0,0.87,0.85,0.18,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_cdt,1,0.91,0.67,0.8,1.0,0.98,0.95,0.17,0.13,0.15,0.19,0.18,0.18,0.09,0.34,0.25,0.07,0.08,0.17
CC2,1,0.09,0.34,0.24,0.05,0.08,0.2,0.09,0.34,0.24,0.05,0.08,0.2,0.09,0.34,0.25,0.07,0.08,0.17
PWK,1,0.09,0.33,0.24,0.09,0.1,0.15,0.09,0.33,0.24,0.09,0.1,0.15,0.09,0.34,0.25,0.07,0.08,0.17
HDx,1,0.18,0.45,0.14,0.0,0.39,0.35,0.18,0.45,0.14,0.0,0.39,0.35,0.09,0.34,0.25,0.07,0.08,0.17
GAC,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
GPAC,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.17
FM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
EMQ,1,0.09,0.36,0.25,0.05,0.05,0.19,0.09,0.36,0.25,0.05,0.05,0.19,0.09,0.34,0.25,0.07,0.08,0.17
KDEyHD,1,0.0,0.0,0.87,0.0,0.0,0.13,0.0,0.0,0.87,0.0,0.0,0.13,0.09,0.34,0.25,0.07,0.08,0.17
KDEyCS,1,0.0,0.83,0.17,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
KDEyML,1,0.0,0.0,0.96,0.0,0.0,0.04,0.0,0.0,0.96,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
CC,2,0.91,0.67,0.74,1.0,0.94,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PCC,2,0.9,0.66,0.76,0.91,0.87,0.81,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC,2,0.07,0.26,0.17,0.0,0.0,0.0,0.13,0.52,0.35,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,2,0.91,0.63,0.75,0.96,0.82,0.84,0.19,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,2,0.08,0.31,0.18,0.0,0.0,0.03,0.14,0.51,0.3,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
MS,2,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.55,0.31,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2,2,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.55,0.31,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
X,2,0.08,0.31,0.21,0.0,0.0,0.01,0.12,0.51,0.35,0.0,0.0,0.01,0.09,0.34,0.25,0.07,0.08,0.17
SMM,2,0.91,0.63,0.75,0.96,0.82,0.84,0.19,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS,2,0.91,0.64,0.75,0.94,0.84,0.84,0.18,0.13,0.15,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,2,0.9,0.68,0.69,1.0,0.98,0.82,0.18,0.13,0.14,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDy,2,0.91,0.66,0.77,0.96,0.91,0.89,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_syn,2,0.91,0.67,0.74,1.0,0.94,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PACC_syn,2,0.9,0.66,0.75,0.91,0.87,0.81,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_syn,2,0.86,0.57,0.67,0.4,0.29,0.49,0.26,0.17,0.2,0.12,0.09,0.15,0.09,0.34,0.25,0.07,0.08,0.17
MAX_syn,2,0.86,0.57,0.67,0.4,0.29,0.49,0.26,0.17,0.2,0.12,0.09,0.15,0.09,0.34,0.25,0.07,0.08,0.17
T50_syn,2,0.81,0.34,0.73,1.0,1.0,0.84,0.17,0.07,0.16,0.21,0.21,0.18,0.09,0.34,0.25,0.07,0.08,0.17
MS_syn,2,0.9,0.65,0.73,1.0,0.94,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
MS2_syn,2,0.9,0.65,0.74,1.0,0.94,0.82,0.18,0.13,0.15,0.2,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
SMM_syn,2,0.98,0.7,0.81,1.0,0.95,0.88,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_syn,2,0.88,0.74,0.51,1.0,0.99,0.84,0.18,0.15,0.1,0.2,0.2,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS_cdt,2,0.91,0.64,0.75,0.94,0.84,0.84,0.18,0.13,0.15,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_cdt,2,0.07,0.26,0.17,0.0,0.0,0.0,0.13,0.52,0.35,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC_cdt,2,0.91,0.63,0.75,0.96,0.82,0.84,0.19,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_cdt,2,0.08,0.31,0.21,0.0,0.0,0.01,0.12,0.51,0.35,0.0,0.0,0.01,0.09,0.34,0.25,0.07,0.08,0.17
MAX_cdt,2,0.08,0.31,0.18,0.0,0.0,0.03,0.14,0.51,0.3,0.0,0.0,0.06,0.09,0.34,0.25,0.07,0.08,0.17
T50_cdt,2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS_cdt,2,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.55,0.31,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2_cdt,2,0.07,0.26,0.15,0.0,0.0,0.0,0.14,0.55,0.31,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM_cdt,2,0.91,0.63,0.75,0.96,0.82,0.84,0.19,0.13,0.15,0.2,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_cdt,2,0.91,0.66,0.77,0.96,0.91,0.89,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
CC2,2,0.09,0.35,0.26,0.05,0.08,0.17,0.09,0.35,0.26,0.05,0.08,0.17,0.09,0.34,0.25,0.07,0.08,0.17
PWK,2,0.09,0.34,0.24,0.1,0.09,0.14,0.09,0.34,0.24,0.1,0.09,0.14,0.09,0.34,0.25,0.07,0.08,0.17
HDx,2,0.13,0.48,0.22,0.0,0.41,0.28,0.13,0.48,0.22,0.0,0.41,0.28,0.09,0.34,0.25,0.07,0.08,0.17
GAC,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
GPAC,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.17
FM,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
EMQ,2,0.09,0.36,0.28,0.01,0.07,0.19,0.09,0.36,0.28,0.01,0.07,0.19,0.09,0.34,0.25,0.07,0.08,0.17
KDEyHD,2,0.01,0.01,0.89,0.0,0.09,0.0,0.01,0.01,0.89,0.0,0.09,0.0,0.09,0.34,0.25,0.07,0.08,0.17
KDEyCS,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
KDEyML,2,0.01,0.23,0.76,0.0,0.0,0.0,0.01,0.23,0.76,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
CC,3,0.91,0.68,0.79,1.0,0.95,0.83,0.18,0.13,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PCC,3,0.91,0.68,0.79,0.91,0.87,0.81,0.18,0.14,0.16,0.18,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
ACC,3,0.07,0.24,0.11,0.0,0.0,0.0,0.16,0.58,0.27,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,3,0.92,0.65,0.79,0.96,0.84,0.84,0.18,0.13,0.16,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,3,0.07,0.29,0.16,0.0,0.0,0.02,0.13,0.53,0.3,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
MS,3,0.07,0.24,0.1,0.0,0.0,0.0,0.16,0.59,0.25,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2,3,0.07,0.24,0.11,0.0,0.0,0.0,0.16,0.59,0.26,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
X,3,0.07,0.29,0.15,0.0,0.0,0.0,0.13,0.57,0.3,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM,3,0.92,0.65,0.79,0.96,0.84,0.84,0.18,0.13,0.16,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DyS,3,0.91,0.67,0.79,0.91,0.89,0.83,0.18,0.13,0.16,0.18,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,3,0.9,0.66,0.76,1.0,0.96,0.85,0.18,0.13,0.15,0.19,0.19,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy,3,0.92,0.68,0.83,0.96,0.95,0.87,0.18,0.13,0.16,0.18,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_syn,3,0.91,0.68,0.79,1.0,0.95,0.83,0.18,0.13,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
PACC_syn,3,0.91,0.68,0.79,0.91,0.87,0.81,0.18,0.14,0.16,0.18,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
X_syn,3,0.81,0.61,0.64,0.41,0.31,0.45,0.25,0.19,0.2,0.13,0.1,0.14,0.09,0.34,0.25,0.07,0.08,0.17
MAX_syn,3,0.81,0.61,0.64,0.41,0.31,0.45,0.25,0.19,0.2,0.13,0.1,0.14,0.09,0.34,0.25,0.07,0.08,0.17
T50_syn,3,0.84,0.41,0.75,1.0,1.0,0.88,0.17,0.08,0.15,0.2,0.2,0.18,0.09,0.34,0.25,0.07,0.08,0.17
MS_syn,3,0.91,0.68,0.79,1.0,0.95,0.83,0.18,0.13,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
MS2_syn,3,0.91,0.68,0.79,1.0,0.95,0.83,0.18,0.13,0.15,0.19,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
SMM_syn,3,1.0,0.72,0.86,1.0,0.95,0.88,0.18,0.13,0.16,0.18,0.18,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDy_syn,3,0.91,0.71,0.72,1.0,0.98,0.84,0.18,0.14,0.14,0.19,0.19,0.16,0.09,0.34,0.25,0.07,0.08,0.17
DyS_cdt,3,0.91,0.67,0.79,0.91,0.89,0.83,0.18,0.13,0.16,0.18,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC_cdt,3,0.07,0.24,0.11,0.0,0.0,0.0,0.16,0.58,0.27,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC_cdt,3,0.92,0.65,0.79,0.96,0.84,0.84,0.18,0.13,0.16,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
X_cdt,3,0.07,0.29,0.15,0.0,0.0,0.0,0.13,0.57,0.3,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX_cdt,3,0.07,0.29,0.16,0.0,0.0,0.02,0.13,0.53,0.3,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
T50_cdt,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS_cdt,3,0.07,0.24,0.1,0.0,0.0,0.0,0.16,0.59,0.25,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MS2_cdt,3,0.07,0.24,0.11,0.0,0.0,0.0,0.16,0.59,0.26,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
SMM_cdt,3,0.92,0.65,0.79,0.96,0.84,0.84,0.18,0.13,0.16,0.19,0.17,0.17,0.09,0.34,0.25,0.07,0.08,0.17
HDy_cdt,3,0.92,0.68,0.83,0.96,0.95,0.87,0.18,0.13,0.16,0.18,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
CC2,3,0.09,0.32,0.22,0.08,0.09,0.2,0.09,0.32,0.22,0.08,0.09,0.2,0.09,0.34,0.25,0.07,0.08,0.17
PWK,3,0.09,0.32,0.21,0.12,0.1,0.16,0.09,0.32,0.21,0.12,0.1,0.16,0.09,0.34,0.25,0.07,0.08,0.17
HDx,3,0.15,0.4,0.16,0.01,0.4,0.35,0.15,0.4,0.16,0.01,0.4,0.35,0.09,0.34,0.25,0.07,0.08,0.17
GAC,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
GPAC,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.17
FM,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
EMQ,3,0.09,0.33,0.2,0.14,0.09,0.15,0.09,0.33,0.2,0.14,0.09,0.15,0.09,0.34,0.25,0.07,0.08,0.17
KDEyHD,3,0.13,0.3,0.36,0.0,0.08,0.13,0.13,0.3,0.36,0.0,0.08,0.13,0.09,0.34,0.25,0.07,0.08,0.17
KDEyCS,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
KDEyML,3,0.07,0.39,0.0,0.0,0.42,0.12,0.07,0.39,0.0,0.0,0.42,0.12,0.09,0.34,0.25,0.07,0.08,0.17
CC,4,0.87,0.67,0.73,1.0,0.96,0.84,0.17,0.13,0.14,0.2,0.19,0.17,0.09,0.34,0.25,0.07,0.08,0.17
PCC,4,0.88,0.68,0.75,0.91,0.89,0.82,0.18,0.14,0.15,0.18,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
ACC,4,0.11,0.26,0.18,0.0,0.0,0.0,0.2,0.47,0.34,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
PACC,4,0.88,0.65,0.74,0.95,0.88,0.86,0.18,0.13,0.15,0.19,0.18,0.17,0.09,0.34,0.25,0.07,0.08,0.17
T50,4,0.0,0.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,4,0.08,0.28,0.17,0.0,0.0,0.02,0.15,0.5,0.31,0.0,0.0,0.04,0.09,0.34,0.25,0.07,0.08,0.17
